,docket,county,division,link
97,432-11-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/432-11-19.json
98,285-7-16,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/285-7-16.json
99,408-11-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/408-11-19.json
100,177-6-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/177-6-20.json
101,203-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/203-6-19.json
102,35-1-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/35-1-20.json
103,172-6-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/172-6-20.json
104,130-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/130-4-20.json
105,21-1-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/21-1-19.json
106,241-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/241-8-20.json
107,51-2-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/51-2-20.json
108,145-5-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/145-5-20.json
109,123-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/123-4-20.json
110,406-9-17,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/406-9-17.json
111,352-9-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/352-9-19.json
112,57-2-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/57-2-20.json
113,132-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/132-4-20.json
114,103-10-19,addison,family,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_family/103-10-19.json
115,104-10-19,addison,family,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_family/104-10-19.json
116,105-10-19,addison,family,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_family/105-10-19.json
117,106-10-19,addison,family,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_family/106-10-19.json
118,22-6-20,addison,family,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_family/22-6-20.json
